"filename", "language", "JavaScript", "JSON", "TypeScript JSX", "JSON with Comments", "Groovy", "Java Properties", "XML", "TypeScript", "Objective-C", "Batch", "C++", "Objective-C++", "Ignore", "Java", "comment", "blank", "total"
"d:\StayFocus\babel.config.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\StayFocus\index.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 10
"d:\StayFocus\ios\stayfocusTests\stayfocusTests.m", "Objective-C", 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 14, 67
"d:\StayFocus\ios\stayfocus\AppDelegate.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 4, 9
"d:\StayFocus\ios\stayfocus\AppDelegate.mm", "Objective-C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 6, 29, 134
"d:\StayFocus\ios\stayfocus\Images.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 54
"d:\StayFocus\ios\stayfocus\Images.xcassets\Contents.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\StayFocus\ios\stayfocus\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 1, 1, 48
"d:\StayFocus\ios\stayfocus\main.m", "Objective-C", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"d:\StayFocus\metro.config.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 18
"d:\StayFocus\package-lock.json", "JSON", 0, 30122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30123
"d:\StayFocus\package.json", "JSON", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 67
"d:\StayFocus\src\api\analytics.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 5, 40
"d:\StayFocus\src\api\auth.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 5, 8, 82
"d:\StayFocus\src\api\firebase.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"d:\StayFocus\src\api\firestore.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 9, 10, 82
"d:\StayFocus\src\api\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 10, 61
"d:\StayFocus\src\api\isLocked.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\StayFocus\src\api\notification.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 6, 14, 135
"d:\StayFocus\src\api\store.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 4, 13, 131
"d:\StayFocus\src\api\types.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 4, 29
"d:\StayFocus\src\chat_reflection_scripts\chatReflectionScript_congrats.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\StayFocus\src\chat_reflection_scripts\chatReflectionScript_end.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\StayFocus\src\chat_reflection_scripts\chatReflectionScript_giveUp.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 5, 54
"d:\StayFocus\src\chat_reflection_scripts\chatScript.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\StayFocus\src\components\CustomButton.tsx", "TypeScript JSX", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 44
"d:\StayFocus\src\components\CustomModal.tsx", "TypeScript JSX", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 70
"d:\StayFocus\src\components\Icons.tsx", "TypeScript JSX", 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 95
"d:\StayFocus\src\components\Screen.tsx", "TypeScript JSX", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 42
